prompt,answer,reasoning
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 77.0 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 77.0 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 77.0 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 77.0 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 77.0 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 77.0 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 77.0 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 81.0 within the provided distribution?
Answer:
",92.0,<answer>92.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 81.0 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 81.0 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 81.0 within the provided distribution?
Answer:
",91.0,<answer>91.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 81.0 within the provided distribution?
Answer:
",90.0,<answer>90.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 81.0 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 81.0 within the provided distribution?
Answer:
",81.0,<answer>81.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 81.0 within the provided distribution?
Answer:
",90.0,<answer>90.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 81.0 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 81.0 within the provided distribution?
Answer:
",91.0,<answer>91.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 90.0 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 90.0 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 90.0 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 90.0 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 80 (Average rate of events per interval.)
  
Question:
What is the percentile of 78.0 within the provided distribution?
Answer:
<answer>40.0</answer>

Example 2:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 65 (Average rate of events per interval.)
  
Question:
What is the percentile of 76.0 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 3:
Distribution:

  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 57 (Average rate of events per interval.)
  
Question:
What is the percentile of 47.0 within the provided distribution?
Answer:
<answer>10.0</answer>


## Consider the following distribution:


  Distribution Type: Poisson Distribution
  Characteristics: Suitable for modeling the number of events happening in a fixed interval of time or space.
  Lambda: 70 (Average rate of events per interval.)
  

## Here is your question:
Question:
What is the percentile of the value 90.0 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
